sample ID, execution time,W 5A probe , W 30A probe
56,  28789,  65.493,  104.019
57,  29311,  66.243,  95.024
58,  29839,  67.030,  102.511
59,  30362,  65.241,  96.046
60,  30885,  65.604,  97.243
61,  31408,  66.792,  104.779
62,  31932,  65.923,  107.741
63,  32456,  66.220,  98.229
64,  32979,  65.804,  98.880
65,  33503,  63.408,  102.761
66,  34026,  66.992,  98.746
67,  34549,  66.810,  97.803
68,  35072,  66.682,  103.979
69,  35595,  65.737,  111.923
70,  36120,  67.495,  96.779
71,  36643,  67.900,  97.835
72,  37166,  66.520,  99.657
73,  37691,  65.556,  102.480
74,  38216,  66.575,  146.688
75,  38739,  66.252,  126.753
76,  39263,  66.216,  95.321
77,  39787,  66.932,  96.413
78,  40309,  65.083,  95.632
79,  40832,  64.183,  97.044
sample ID, execution time,W 5A probe , W 30A probe
2,  526,  66.500,  94.223
3,  1050,  65.319,  130.327
4,  1573,  68.053,  169.494
5,  2095,  67.590,  189.589
